PROPERTY.GROUP,LATITUDE,LONGITUDE
14073,42.0184189,-87.68313552
14087,42.01411821,-87.68356474
14107,42.01846864,-87.68178615
14118,42.01238174,-87.68929424
14121,42.01691207,-87.69083823
14128,42.01365531,-87.69038394
14136,42.02103996,-87.67022953
14165,42.02066256,-87.66838514
14171,42.02237241,-87.67015372
14185,42.02126474,-87.67077606
14189,42.02241088,-87.67105195
14190,42.02148276,-87.67410225
14192,42.01948985,-87.67205667
14193,42.02106998,-87.6725281
14216,42.01146372,-87.66528214
14442,41.87764548,-87.67215509
14467,41.87627246,-87.68059778
14474,41.87745534,-87.68485371
14512,41.8738686,-87.69982462
14513,41.87386141,-87.70043355
14520,41.8809088,-87.70597408
14527,41.87870816,-87.70253554
14542,41.880597,-87.71114226
14546,41.87733838,-87.71444267
14549,41.88078832,-87.71259073
14560,41.87459484,-87.71813629
14567,41.8775278,-87.72078455
14568,41.87717386,-87.72078414
14570,41.87679764,-87.72324105
14645,41.87689359,-87.73764926
14646,41.87677084,-87.74238014
14647,41.87707459,-87.73547397
14654,41.87894875,-87.74262407
14655,41.8763499,-87.74253072
14657,41.88049945,-87.73559596
14663,41.87844863,-87.74828103
14665,41.87850261,-87.74920011
14681,41.87982256,-87.75338608
14682,41.88004061,-87.75368818
14686,41.87938454,-87.74586888
14687,41.87960404,-87.74587387
14699,41.87686526,-87.7474587
14702,41.87776518,-87.7480023
14717,41.87389354,-87.75497379
14719,41.87361658,-87.76172717
14728,41.87301161,-87.75853776
14733,41.87665653,-87.76391181
14734,41.87794781,-87.75512382
14735,41.87479856,-87.75500403
14739,41.87738963,-87.76025206
14745,41.8777301,-87.77383605
14753,41.87982944,-87.77153235
14754,41.88000473,-87.77295794
14756,41.8797978,-87.77315857
14761,41.87782941,-87.76731387
14762,41.87782465,-87.7676334
14763,41.87974431,-87.76499581
14848,41.87929044,-87.63655504
14932,41.87632099,-87.6308794
15137,41.86913751,-87.68258181
15195,41.86776994,-87.68621328
15211,41.87167356,-87.69618759
15241,41.87275943,-87.70328847
15253,41.87259376,-87.71237941
15277,41.87105257,-87.70761333
15287,41.86698711,-87.72387269
15293,41.87241726,-87.72047363
15312,41.8719286,-87.72755305
15355,41.87034652,-87.77412878
15356,41.86755314,-87.77405847
15358,41.86585634,-87.77276743
15359,41.86579394,-87.77305905
15486,41.86356878,-87.65244876
15615,41.86355645,-87.65329446
15654,41.86504744,-87.69445217
15691,41.86128616,-87.70537521
15714,41.85935906,-87.70927142
15744,41.8596054,-87.71264186
15755,41.86420278,-87.71432674
15771,41.86200934,-87.72001688
15781,41.86568758,-87.71936221
15782,41.86434945,-87.71931908
15791,41.86511461,-87.7179692
15793,41.86481997,-87.71796112
15794,41.86068505,-87.71783834
15812,41.86034762,-87.7224181
15816,41.8624329,-87.7231453
15822,41.86098465,-87.72244021
15827,41.86421272,-87.72770003
15852,41.86048345,-87.73341799
15858,41.86288417,-87.73378647
15893,41.86141967,-87.73618418
15904,41.85829864,-87.62219351
15924,41.85439989,-87.62400107
16076,41.8594723,-87.65632335
16386,41.85330869,-87.66829103
16428,41.85656388,-87.68300345
16461,41.85409775,-87.67754029
16479,41.85206712,-87.6914287
16501,41.85750855,-87.69497176
16547,41.85290402,-87.69685528
16548,41.85283997,-87.70163084
16549,41.85383624,-87.69737791
16561,41.85439815,-87.7100555
16594,41.85701191,-87.71529981
16598,41.85208052,-87.71759255
16641,41.85825203,-87.726016
16643,41.85538639,-87.7259263
16666,41.85104054,-87.62238659
16669,41.85201901,-87.62363505
16680,41.8500047,-87.62358624
16745,41.85157794,-87.63492035
16812,41.85281839,-87.63186167
16874,41.85206266,-87.6760355
16935,41.85088095,-87.69499413
16952,41.85180634,-87.69434919
16957,41.84826268,-87.70254965
16976,41.85152367,-87.70019546
16996,41.84728289,-87.70374314
17002,41.84697274,-87.70158
17055,41.85132343,-87.71635557
17074,41.84968429,-87.71874803
17080,41.84438722,-87.72263205
17085,41.85133081,-87.7318541
17091,41.84460937,-87.72957519
17098,41.84706647,-87.72744887
17119,41.84423259,-87.62195817
17120,41.84357287,-87.62194688
17124,41.83954494,-87.6230897
17147,41.84213693,-87.61705822
17198,41.83833137,-87.6327427
17222,41.84168856,-87.63920948
17246,41.84441294,-87.63839073
17261,41.84683167,-87.64700512
17311,41.840071,-87.66149243
17365,41.84347718,-87.71612752
17417,41.83521335,-87.62048576
17442,41.83357233,-87.61243055
17452,41.83465023,-87.63416182
17542,41.83638365,-87.65095823
17548,41.83562725,-87.65123025
17559,41.83730751,-87.65024856
17594,41.83055818,-87.67008496
17595,41.83055716,-87.6702542
17625,41.83044744,-87.62189629
17635,41.82505871,-87.62325424
17637,41.83005407,-87.61731993
17649,41.82575322,-87.61751743
17666,41.82906766,-87.61695898
17678,41.83083812,-87.61462489
17686,41.8296572,-87.61459953
17687,41.82864129,-87.61457959
17693,41.83077665,-87.6102556
17696,41.82926721,-87.60662782
17698,41.83109682,-87.60836966
17719,41.82727494,-87.64120515
17794,41.82944834,-87.67895237
17803,41.82446055,-87.68710668
17835,41.82150215,-87.61863554
17836,41.82121634,-87.61862753
17851,41.81769199,-87.62320588
17852,41.81713143,-87.62319074
17855,41.81904177,-87.6197114
17857,41.8216833,-87.61708473
17860,41.82062608,-87.61705532
17874,41.81823752,-87.6227186
17889,41.82255123,-87.61565182
17905,41.81675467,-87.61609081
17907,41.81690823,-87.60760464
17908,41.81922851,-87.61645178
17916,41.82191213,-87.60362922
18008,41.81204946,-87.61837536
18009,41.81127569,-87.61862347
18016,41.81102124,-87.62090359
18022,41.81300527,-87.62248857
18024,41.81250212,-87.62277661
18025,41.81210684,-87.62276602
18031,41.81588305,-87.62315957
18032,41.81571475,-87.62315454
18049,41.81614859,-87.61692566
18052,41.81288844,-87.61760153
18070,41.81308092,-87.60679221
18076,41.81570285,-87.61662074
18096,41.81495845,-87.61521987
18101,41.81291494,-87.61568125
18106,41.81134129,-87.6145144
18118,41.81478618,-87.61250106
18123,41.81676172,-87.60178732
18126,41.81559005,-87.60197292
18127,41.81063739,-87.60186885
18130,41.81385239,-87.59920482
18137,41.81511226,-87.60602028
18138,41.81315831,-87.59805972
18139,41.81125045,-87.60609811
18143,41.80968916,-87.60248248
18145,41.8140866,-87.59921034
18151,41.80976127,-87.59592719
18159,41.8107813,-87.6454403
18168,41.80901434,-87.64318161
18194,41.81532444,-87.67228476
18224,41.81387171,-87.70528122
18259,41.80683338,-87.62129339
18261,41.80638088,-87.62128296
18265,41.80852006,-87.62266933
18268,41.80555554,-87.62259392
18269,41.80544292,-87.62259151
18276,41.8076116,-87.62293759
18279,41.80596063,-87.62289568
18283,41.80316236,-87.62282421
18285,41.80674898,-87.61937671
18288,41.80595801,-87.61935781
18317,41.80739082,-87.62062384
18323,41.80879906,-87.622969
18328,41.80917868,-87.6227517
18332,41.80343326,-87.60992414
18333,41.80287663,-87.60990755
18337,41.80397532,-87.61022926
18338,41.80300035,-87.6102044
18358,41.80677165,-87.6159142
18361,41.80841274,-87.61128205
18363,41.80320303,-87.61116312
18364,41.80227969,-87.61122689
18367,41.80792233,-87.61370948
18373,41.80657493,-87.61442372
18374,41.80518374,-87.61401503
18376,41.80221706,-87.61545215
18384,41.80301701,-87.60912109
18392,41.8022675,-87.61205423
18402,41.80492088,-87.60903532
18406,41.80401879,-87.60363157
18419,41.80237347,-87.60588761
18420,41.8023793,-87.60547275
18421,41.80240771,-87.60293236
18426,41.80841098,-87.60263577
18428,41.80814359,-87.60292291
18429,41.80919213,-87.59697164
18430,41.80873391,-87.59696207
18432,41.80579618,-87.60551002
18433,41.80601317,-87.60571564
18435,41.80683465,-87.60636083
18437,41.80243104,-87.60065992
18445,41.80252338,-87.59255015
18463,41.80617039,-87.58579957
18468,41.80492318,-87.58562456
18472,41.80254046,-87.59109498
18502,41.80162621,-87.65026589
18511,41.80569029,-87.65531333
18517,41.8085091,-87.66387726
18589,41.80441141,-87.7236318
18591,41.80485951,-87.74294209
18597,41.801795,-87.61629095
18598,41.79962214,-87.6175775
18599,41.79800787,-87.61753863
18602,41.80061963,-87.61786015
18615,41.7956068,-87.62101438
18621,41.79892468,-87.62242732
18641,41.80136011,-87.61628875
18644,41.7985631,-87.61672637
18645,41.79834217,-87.61680046
18658,41.79856164,-87.61680752
18670,41.79972462,-87.60377905
18689,41.79786308,-87.60112314
18690,41.80085587,-87.6014834
18704,41.80222778,-87.60273731
18739,41.79874096,-87.60527529
18743,41.80140057,-87.6027203
18748,41.80116519,-87.60271319
18751,41.80131388,-87.59033467
18752,41.80118992,-87.59033203
18773,41.79923315,-87.58893725
18780,41.80028598,-87.589215
18786,41.79857178,-87.58921454
18795,41.80231259,-87.59178215
18799,41.79961156,-87.59253344
18805,41.80140027,-87.59359772
18837,41.80158967,-87.59330848
18848,41.79879987,-87.58535388
18856,41.80064038,-87.58604842
18862,41.79739503,-87.58561065
18870,41.80237398,-87.5871808
18880,41.80188015,-87.58507398
18888,41.79950979,-87.58396183
18889,41.79952126,-87.58349016
18892,41.79970537,-87.58494775
18906,41.80049809,-87.64546424
18908,41.79419961,-87.6607969
18910,41.79417904,-87.6622224
18974,41.78981043,-87.62086685
18979,41.79150507,-87.62223616
18982,41.78796496,-87.62214621
18983,41.78785189,-87.62214304
18987,41.79195661,-87.62254005
18993,41.78914772,-87.62247236
18997,41.78807343,-87.62244264
18998,41.78762147,-87.62243002
18999,41.79251848,-87.61902058
19007,41.79240066,-87.61931084
19014,41.79251052,-87.61606922
19017,41.79194256,-87.61605485
19021,41.79034579,-87.61601869
19025,41.78965273,-87.62542654
19032,41.79139124,-87.62223354
19035,41.78762232,-87.61648561
19041,41.79096072,-87.62220556
19046,41.79421122,-87.62488199
19138,41.79539991,-87.59162591
19176,41.79507542,-87.58752074
19180,41.79513581,-87.58229602
19195,41.78912948,-87.63021181
19204,41.79235623,-87.64374644
19216,41.79155356,-87.66437442
19254,41.78579063,-87.61695776
19256,41.78632983,-87.61753964
19258,41.78518903,-87.6204568
19260,41.78306466,-87.62040232
19263,41.78731685,-87.62185124
19265,41.78316338,-87.62202058
